"Reservoir","Date","Site","Duration_days","Depth_m","TrapRep","TrapXSA_m2","TrapVol_L","CollectionVol_L","FilterRep","FilterVol_L","FilterMassPre_g","FilterMassPost_g","SedMass_g","SedFlux_gm2d","FilterID","Flag_CollectionVol_L","Flag_SedMass_g"
"FCR",2022-05-17,50,15,4,2,0.0040715,2,1764,4,81,0.107,0.111,0.004,1.42635574294668,"F_sed_4m_R2_F4_17May22",1,1
"FCR",2022-05-17,50,15,8,1,0.0040715,2,1802,1,79,0.107,0.109,0.002,0.746985192427967,"F_sed_8m_R1_F1_17May22",1,1
"FCR",2022-05-17,50,15,8,1,0.0040715,2,1802,2,80,0.106,0.109,0.003,1.10647181628393,"F_sed_8m_R1_F2_17May22",1,1
"FCR",2022-05-17,50,15,8,1,0.0040715,2,1802,3,81,0.106,0.108,0.002,0.728541113602585,"F_sed_8m_R1_F3_17May22",1,1
"FCR",2022-05-17,50,15,8,1,0.0040715,2,1802,4,82,0.106,0.11,0.004,1.43931293175145,"F_sed_8m_R1_F4_17May22",1,1
"FCR",2022-05-17,50,15,8,2,0.0040715,2,1821,1,81,0.107,0.11,0.003,1.10433410200081,"F_sed_8m_R2_F1_17May22",1,1
"FCR",2022-05-17,50,15,8,2,0.0040715,2,1821,2,78,0.108,0.109,0.001,0.382269496846434,"F_sed_8m_R2_F2_17May22",1,1
"FCR",2022-05-17,50,15,8,2,0.0040715,2,1821,3,82,0.106,0.111,0.005,1.8181110215867,"F_sed_8m_R2_F3_17May22",1,1
"FCR",2022-05-17,50,15,8,2,0.0040715,2,1821,4,80,0.106,0.11,0.004,1.49085103770109,"F_sed_8m_R2_F4_17May22",1,1
"BVR",2022-05-17,50,15,4,1,0.0040715,2,1734,1,143,0.107,0.112,0.005,0.992744207775524,"B_sed_4m_R1_F1_17May22",1,1
"BVR",2022-05-17,50,15,4,1,0.0040715,2,1734,2,139,0.106,0.111,0.005,1.02131238641655,"B_sed_4m_R1_F2_17May22",1,1
"BVR",2022-05-17,50,15,4,1,0.0040715,2,1734,3,138,0.106,0.111,0.005,1.02871320081087,"B_sed_4m_R1_F3_17May22",1,1
"BVR",2022-05-17,50,15,4,1,0.0040715,2,1734,4,139,0.107,0.111,0.004,0.817049909133237,"B_sed_4m_R1_F4_17May22",1,1
"BVR",2022-05-17,50,15,4,2,0.0040715,2,1780,1,140,0.107,0.111,0.004,0.832733928644528,"B_sed_4m_R2_F1_17May22",1,1
"BVR",2022-05-17,50,15,4,2,0.0040715,2,1780,2,138,0.107,0.113,0.00600000000000001,1.26720380445906,"B_sed_4m_R2_F2_17May22",1,1
"BVR",2022-05-17,50,15,4,2,0.0040715,2,1780,3,142,0.108,0.112,0.004,0.82100528176221,"B_sed_4m_R2_F3_17May22",1,1
"BVR",2022-05-17,50,15,4,2,0.0040715,2,1780,4,140,0.107,0.11,0.003,0.624550446483396,"B_sed_4m_R2_F4_17May22",1,1
"BVR",2022-05-17,50,15,8,1,0.0040715,2,1761,1,82,0.108,0.111,0.003,1.05492372619907,"B_sed_8m_R1_F1_17May22",1,1
"BVR",2022-05-17,50,15,8,1,0.0040715,2,1761,2,84,0.108,0.113,0.005,1.71634415770484,"B_sed_8m_R1_F2_17May22",1,1
"BVR",2022-05-17,50,15,8,1,0.0040715,2,1761,3,80,0.109,0.113,0.004,1.44172909247206,"B_sed_8m_R1_F3_17May22",1,1
"BVR",2022-05-17,50,15,8,1,0.0040715,2,1761,4,80,0.108,0.112,0.004,1.44172909247206,"B_sed_8m_R1_F4_17May22",1,1
"BVR",2022-05-17,50,15,8,2,0.0040715,2,1722,1,81,0.108,0.111,0.003,1.04429616894311,"B_sed_8m_R2_F1_17May22",1,1
"BVR",2022-05-17,50,15,8,2,0.0040715,2,1722,2,80,0.107,0.113,0.00600000000000001,2.11469974210979,"B_sed_8m_R2_F2_17May22",1,1
"BVR",2022-05-17,50,15,8,2,0.0040715,2,1722,3,82,0.107,0.112,0.005,1.71926808301609,"B_sed_8m_R2_F3_17May22",1,1
"BVR",2022-05-17,50,15,8,2,0.0040715,2,1722,4,79,0.107,0.109,0.002,0.713822697758579,"B_sed_8m_R2_F4_17May22",1,1
"FCR",2022-05-31,50,14,4,1,0.0040715,2,1749,1,141,0.107,0.112,0.005,1.0880734828467,"F_sed_4m_R1_F1_31May22",1,1
"FCR",2022-05-31,50,14,4,1,0.0040715,2,1749,2,141,0.107,0.112,0.005,1.0880734828467,"F_sed_4m_R1_F2_31May22",1,1
"FCR",2022-05-31,50,14,4,1,0.0040715,2,1749,3,143,0.107,0.113,0.00600000000000001,1.28742680627735,"F_sed_4m_R1_F3_31May22",1,1
"FCR",2022-05-31,50,14,4,1,0.0040715,2,1749,4,144,0.107,0.112,0.005,1.06540528528739,"F_sed_4m_R1_F4_31May22",1,1
"FCR",2022-05-31,50,14,4,2,0.0040715,2,1775,1,139,0.107,0.112,0.005,1.12013685485008,"F_sed_4m_R2_F1_31May22",1,1
"FCR",2022-05-31,50,14,4,2,0.0040715,2,1775,2,138,0.108,0.112,0.004,0.902603030864702,"F_sed_4m_R2_F2_31May22",1,1
"FCR",2022-05-31,50,14,4,2,0.0040715,2,1775,3,138,0.107,0.112,0.005,1.12825378858088,"F_sed_4m_R2_F3_31May22",1,1
"FCR",2022-05-31,50,14,4,2,0.0040715,2,1775,4,140,0.108,0.113,0.005,1.11213587731544,"F_sed_4m_R2_F4_31May22",1,1
"FCR",2022-05-31,50,14,8,1,0.0040715,2,1755,1,81,0.107,0.115,0.00800000000000001,3.04088232370193,"F_sed_8m_R1_F1_31May22",1,1
"FCR",2022-05-31,50,14,8,1,0.0040715,2,1755,2,83,0.108,0.116,0.00800000000000001,2.96760805084164,"F_sed_8m_R1_F2_31May22",1,1
"FCR",2022-05-31,50,14,8,1,0.0040715,2,1755,3,81,0.107,0.115,0.00800000000000001,3.04088232370193,"F_sed_8m_R1_F3_31May22",1,1
"FCR",2022-05-31,50,14,8,1,0.0040715,2,1755,4,82,0.108,0.115,0.00700000000000001,2.62832359380944,"F_sed_8m_R1_F4_31May22",1,1
"FCR",2022-05-31,50,14,8,2,0.0040715,2,1664,1,80,0.108,0.115,0.00700000000000001,2.55434115190962,"F_sed_8m_R2_F1_31May22",1,1
"FCR",2022-05-31,50,14,8,2,0.0040715,2,1664,2,81,0.108,0.115,0.00700000000000001,2.52280607596012,"F_sed_8m_R2_F2_31May22",1,1
"FCR",2022-05-31,50,14,8,2,0.0040715,2,1664,3,83,0.106,0.116,0.01,3.51716509729379,"F_sed_8m_R2_F3_31May22",1,1
"FCR",2022-05-31,50,14,8,2,0.0040715,2,1664,4,80,0.108,0.117,0.00900000000000001,3.28415290959808,"F_sed_8m_R2_F4_31May22",1,1
"BVR",2022-05-31,50,14,4,1,0.0040715,2,1799,1,142,0.107,0.115,0.00800000000000001,1.77807604561422,"B_sed_4m_R1_F1_31May22",1,1
"BVR",2022-05-31,50,14,4,1,0.0040715,2,1799,2,140,0.107,0.115,0.00800000000000001,1.80347713198014,"B_sed_4m_R1_F2_31May22",1,1
"BVR",2022-05-31,50,14,4,1,0.0040715,2,1799,3,138,0.109,0.115,0.00600000000000001,1.37221086128924,"B_sed_4m_R1_F3_31May22",1,1
"BVR",2022-05-31,50,14,4,1,0.0040715,2,1799,4,139,0.108,0.114,0.00600000000000001,1.36233884070442,"B_sed_4m_R1_F4_31May22",1,1
"BVR",2022-05-31,50,14,4,2,0.0040715,2,1813,1,139,0.111,0.113,0.002,0.45764689979565,"B_sed_4m_R2_F1_31May22",1,1
"BVR",2022-05-31,50,14,4,2,0.0040715,2,1813,2,140,0.108,0.114,0.00600000000000001,1.36313398010561,"B_sed_4m_R2_F2_31May22",1,1
"BVR",2022-05-31,50,14,4,2,0.0040715,2,1813,3,140,0.108,0.116,0.00800000000000001,1.81751197347415,"B_sed_4m_R2_F3_31May22",1,1
"BVR",2022-05-31,50,14,4,2,0.0040715,2,1813,4,139,0.107,0.118,0.011,2.51705794887607,"B_sed_4m_R2_F4_31May22",1,1
"BVR",2022-05-31,50,14,8,1,0.0040715,2,1805,1,80,0.107,0.114,0.00700000000000001,2.77078472307504,"B_sed_8m_R1_F1_31May22",1,1
"BVR",2022-05-31,50,14,8,1,0.0040715,2,1805,2,81,0.107,0.113,0.00600000000000001,2.34563786080426,"B_sed_8m_R1_F2_31May22",1,1
"BVR",2022-05-31,50,14,8,1,0.0040715,2,1805,3,78,0.106,0.112,0.00600000000000001,2.43585470160443,"B_sed_8m_R1_F3_31May22",1,1
"BVR",2022-05-31,50,14,8,1,0.0040715,2,1805,4,81,0.108,0.112,0.004,1.56375857386951,"B_sed_8m_R1_F4_31May22",1,1
"BVR",2022-05-31,50,14,8,2,0.0040715,2,1817,1,81,0.107,0.116,0.00900000000000001,3.54184819369641,"B_sed_8m_R2_F1_31May22",1,1
"BVR",2022-05-31,50,14,8,2,0.0040715,2,1817,2,79,0.107,0.116,0.00900000000000001,3.6315152365748,"B_sed_8m_R2_F2_31May22",1,1
"BVR",2022-05-31,50,14,8,2,0.0040715,2,1817,3,78,0.107,0.114,0.00700000000000001,2.86072354106249,"B_sed_8m_R2_F3_31May22",1,1
"BVR",2022-05-31,50,14,8,2,0.0040715,2,1817,4,79,0.108,0.113,0.005,2.01750846476378,"B_sed_8m_R2_F4_31May22",1,1
"FCR",2022-06-13,50,13,4,1,0.0040715,2,1823,1,143,0.107,0.122,0.015,3.6128014854434,"F_sed_4m_R1_F1_13Jun22",1,1
"FCR",2022-06-13,50,13,4,1,0.0040715,2,1823,2,139,0.108,0.121,0.013,3.22119806304042,"F_sed_4m_R1_F2_13Jun22",1,1
"FCR",2022-06-13,50,13,4,1,0.0040715,2,1823,3,139,0.107,0.122,0.015,3.71676699581587,"F_sed_4m_R1_F3_13Jun22",1,1
"FCR",2022-06-13,50,13,4,1,0.0040715,2,1823,4,142,0.107,0.123,0.016,3.88079333272042,"F_sed_4m_R1_F4_13Jun22",1,1
"FCR",2022-06-13,50,13,4,2,0.0040715,2,1815,1,142,0.108,0.125,0.017,4.10524815829294,"F_sed_4m_R2_F1_13Jun22",1,1
"FCR",2022-06-13,50,13,4,2,0.0040715,2,1815,2,144,0.107,0.124,0.017,4.04823082276109,"F_sed_4m_R2_F2_13Jun22",1,1
"FCR",2022-06-13,50,13,4,2,0.0040715,2,1815,3,139,0.108,0.126,0.018,4.44054773279592,"F_sed_4m_R2_F3_13Jun22",1,1
"FCR",2022-06-13,50,13,4,2,0.0040715,2,1815,4,140,0.108,0.126,0.018,4.40882953470452,"F_sed_4m_R2_F4_13Jun22",1,1
"FCR",2022-06-13,50,13,8,1,0.0040715,2,1771,1,83,0.108,0.111,0.003,1.20938320204746,"F_sed_8m_R1_F1_13Jun22",1,1
"FCR",2022-06-13,50,13,8,1,0.0040715,2,1771,2,78,0.108,0.111,0.003,1.28690776628127,"F_sed_8m_R1_F2_13Jun22",1,1
"FCR",2022-06-13,50,13,8,1,0.0040715,2,1771,3,81,0.107,0.111,0.004,1.65232602090435,"F_sed_8m_R1_F3_13Jun22",1,1
"FCR",2022-06-13,50,13,8,1,0.0040715,2,1771,4,79,0.108,0.111,0.003,1.27061779455619,"F_sed_8m_R1_F4_13Jun22",1,1
"FCR",2022-06-13,50,13,8,2,0.0040715,2,1784,1,81,0.107,0.109,0.002,0.832227448134772,"F_sed_8m_R2_F1_13Jun22",1,1
"FCR",2022-06-13,50,13,8,2,0.0040715,2,1784,2,78,0.106,0.11,0.004,1.72847239227991,"F_sed_8m_R2_F2_13Jun22",1,1
"FCR",2022-06-13,50,13,8,2,0.0040715,2,1784,3,80,0.107,0.109,0.002,0.842630291236457,"F_sed_8m_R2_F3_13Jun22",1,1
"FCR",2022-06-13,50,13,8,2,0.0040715,2,1784,4,80,0.108,0.112,0.004,1.68526058247291,"F_sed_8m_R2_F4_13Jun22",1,1
"BVR",2022-06-13,50,13,4,1,0.0040715,2,1701,1,144,0.107,0.116,0.00900000000000001,2.0085680008313,"B_sed_4m_R1_F1_13Jun22",1,1
"BVR",2022-06-13,50,13,4,1,0.0040715,2,1701,2,138,0.107,0.117,0.01,2.32877449371745,"B_sed_4m_R1_F2_13Jun22",1,1
"BVR",2022-06-13,50,13,4,1,0.0040715,2,1701,3,138,0.107,0.118,0.011,2.56165194308919,"B_sed_4m_R1_F3_13Jun22",1,1
"BVR",2022-06-13,50,13,4,1,0.0040715,2,1701,4,141,0.107,0.119,0.012,2.73507132028091,"B_sed_4m_R1_F4_13Jun22",1,1
"BVR",2022-06-13,50,13,4,2,0.0040715,2,1792,1,139,0.106,0.116,0.01,2.43570907167747,"B_sed_4m_R2_F1_13Jun22",1,1
"BVR",2022-06-13,50,13,4,2,0.0040715,2,1792,2,145,0.107,0.115,0.00800000000000001,1.86793688807265,"B_sed_4m_R2_F2_13Jun22",1,1
"BVR",2022-06-13,50,13,4,2,0.0040715,2,1792,3,139,0.107,0.113,0.00600000000000001,1.46142544300648,"B_sed_4m_R2_F3_13Jun22",1,1
"BVR",2022-06-13,50,13,4,2,0.0040715,2,1792,4,139,0.107,0.113,0.00600000000000001,1.46142544300648,"B_sed_4m_R2_F4_13Jun22",1,1
"BVR",2022-06-13,50,13,8,1,0.0040715,2,1750,1,84,0.106,0.112,0.00600000000000001,2.36163198216496,"B_sed_8m_R1_F1_13Jun22",1,1
"BVR",2022-06-13,50,13,8,1,0.0040715,2,1750,2,82,0.107,0.114,0.00700000000000001,2.82243822258739,"B_sed_8m_R1_F2_13Jun22",1,1
"BVR",2022-06-13,50,13,8,1,0.0040715,2,1750,3,84,0.108,0.115,0.00700000000000001,2.75523731252578,"B_sed_8m_R1_F3_13Jun22",1,1
"BVR",2022-06-13,50,13,8,1,0.0040715,2,1750,4,80,0.107,0.115,0.00800000000000001,3.30628477503094,"B_sed_8m_R1_F4_13Jun22",1,1
"BVR",2022-06-13,50,13,8,2,0.0040715,2,1804,1,84,0.107,0.113,0.00600000000000001,2.43450519761462,"B_sed_8m_R2_F1_13Jun22",1,1
"BVR",2022-06-13,50,13,8,2,0.0040715,2,1804,2,82,0.108,0.114,0.00600000000000001,2.4938833731662,"B_sed_8m_R2_F2_13Jun22",1,1
"BVR",2022-06-13,50,13,8,2,0.0040715,2,1804,3,84,0.108,0.115,0.00700000000000001,2.84025606388372,"B_sed_8m_R2_F3_13Jun22",1,1
"BVR",2022-06-13,50,13,8,2,0.0040715,2,1804,4,84,0.109,0.117,0.00800000000000001,3.24600693015283,"B_sed_8m_R2_F4_13Jun22",1,1
"FCR",2022-06-27,50,14,4,1,0.0040715,2,1797,1,140,0.107,0.111,0.004,0.900736077311928,"F_sed_4m_R1_F1_27Jun22",1,1
"FCR",2022-06-27,50,14,4,1,0.0040715,2,1797,2,140,0.106,0.111,0.005,1.12592009663991,"F_sed_4m_R1_F2_27Jun22",1,1
"FCR",2022-06-27,50,14,4,1,0.0040715,2,1797,3,139,0.107,0.112,0.005,1.13402024122005,"F_sed_4m_R1_F3_27Jun22",1,1
"FCR",2022-06-27,50,14,4,1,0.0040715,2,1797,4,138,0.107,0.112,0.005,1.14223777919991,"F_sed_4m_R1_F4_27Jun22",1,1
"FCR",2022-06-27,50,14,4,2,0.0040715,2,1817,1,139,0.108,0.113,0.005,1.14664150155639,"F_sed_4m_R2_F1_27Jun22",1,1
"FCR",2022-06-27,50,14,4,2,0.0040715,2,1817,2,137,0.107,0.112,0.005,1.16338079354992,"F_sed_4m_R2_F2_27Jun22",1,1
"FCR",2022-06-27,50,14,4,2,0.0040715,2,1817,3,138,0.108,0.112,0.004,0.923960398355585,"F_sed_4m_R2_F3_27Jun22",1,1
"FCR",2022-06-27,50,14,4,2,0.0040715,2,1817,4,143,0.107,0.112,0.005,1.11456761340097,"F_sed_4m_R2_F4_27Jun22",1,1
"FCR",2022-06-27,50,14,8,1,0.0040715,2,1817,1,78,0.108,0.117,0.00900000000000001,3.6780731242232,"F_sed_8m_R1_F1_27Jun22",1,1
"FCR",2022-06-27,50,14,8,1,0.0040715,2,1817,2,78,0.106,0.116,0.01,4.08674791580355,"F_sed_8m_R1_F2_27Jun22",1,1
"FCR",2022-06-27,50,14,8,1,0.0040715,2,1817,3,82,0.107,0.116,0.00900000000000001,3.49865492304158,"F_sed_8m_R1_F3_27Jun22",1,1
"FCR",2022-06-27,50,14,8,1,0.0040715,2,1817,4,79,0.108,0.116,0.00800000000000001,3.22801354362204,"F_sed_8m_R1_F4_27Jun22",1,1
"FCR",2022-06-27,50,14,8,2,0.0040715,2,1670,1,78,0.107,0.117,0.01,3.75611943830046,"F_sed_8m_R2_F1_27Jun22",1,1
"FCR",2022-06-27,50,14,8,2,0.0040715,2,1670,2,80,0.107,0.117,0.01,3.66221645234294,"F_sed_8m_R2_F2_27Jun22",1,1
"FCR",2022-06-27,50,14,8,2,0.0040715,2,1670,3,82,0.108,0.118,0.01,3.57289409984677,"F_sed_8m_R2_F3_27Jun22",1,1
"FCR",2022-06-27,50,14,8,2,0.0040715,2,1670,4,80,0.107,0.117,0.01,3.66221645234294,"F_sed_8m_R2_F4_27Jun22",1,1
"BVR",2022-06-27,50,14,4,1,0.0040715,2,1784,1,141,0.107,0.141,0.034,7.5469622842252,"B_sed_4m_R1_F1_27Jun22",1,1
"BVR",2022-06-27,50,14,4,1,0.0040715,2,1784,2,141,0.107,0.145,0.038,8.4348402000164,"B_sed_4m_R1_F2_27Jun22",1,1
"BVR",2022-06-27,50,14,4,1,0.0040715,2,1784,3,143,0.107,0.143,0.036,7.87914038558764,"B_sed_4m_R1_F3_27Jun22",1,1
"BVR",2022-06-27,50,14,4,1,0.0040715,2,1784,4,139,0.107,0.139,0.032,7.20522510080917,"B_sed_4m_R1_F4_27Jun22",1,1
"BVR",2022-06-27,50,14,4,2,0.0040715,2,1817,1,139,0.108,0.136,0.028,6.42119240871579,"B_sed_4m_R2_F1_27Jun22",1,1
"BVR",2022-06-27,50,14,4,2,0.0040715,2,1817,2,138,0.107,0.134,0.027,6.2367326889002,"B_sed_4m_R2_F2_27Jun22",1,1
"BVR",2022-06-27,50,14,4,2,0.0040715,2,1817,3,140,0.108,0.137,0.029,6.60301698967688,"B_sed_4m_R2_F3_27Jun22",1,1
"BVR",2022-06-27,50,14,4,2,0.0040715,2,1817,4,140,0.108,0.141,0.033,7.51377795377023,"B_sed_4m_R2_F4_27Jun22",1,1
"BVR",2022-06-27,50,14,8,1,0.0040715,2,1775,1,83,0.107,0.127,0.02,7.50356736501981,"B_sed_8m_R1_F1_27Jun22",1,1
"BVR",2022-06-27,50,14,8,1,0.0040715,2,1775,2,83,0.107,0.127,0.02,7.50356736501981,"B_sed_8m_R1_F2_27Jun22",1,1
"BVR",2022-06-27,50,14,8,1,0.0040715,2,1775,3,79,0.107,0.125,0.018,7.09514534388582,"B_sed_8m_R1_F3_27Jun22",1,1
"BVR",2022-06-27,50,14,8,1,0.0040715,2,1775,4,80,0.107,0.126,0.019,7.39570358414765,"B_sed_8m_R1_F4_27Jun22",1,1
"BVR",2022-06-27,50,14,8,2,0.0040715,2,1769,1,78,0.107,0.126,0.019,7.55969643357584,"B_sed_8m_R2_F1_27Jun22",1,1
"BVR",2022-06-27,50,14,8,2,0.0040715,2,1769,2,77,0.107,0.128,0.021,8.46396634189831,"B_sed_8m_R2_F2_27Jun22",1,1
"BVR",2022-06-27,50,14,8,2,0.0040715,2,1769,3,82,0.107,0.127,0.02,7.56940079356759,"B_sed_8m_R2_F3_27Jun22",1,1
"BVR",2022-06-27,50,14,8,2,0.0040715,2,1769,4,82,0.107,0.131,0.024,9.08328095228111,"B_sed_8m_R2_F4_27Jun22",1,1
"FCR",2022-07-11,50,14,4,1,0.0040715,2,1710,1,138,0.107,0.11,0.003,0.652162471596609,"F_sed_4m_R1_F1_11Jul22",1,1
"FCR",2022-07-11,50,14,4,1,0.0040715,2,1710,2,142,0.107,0.112,0.005,1.05631949624803,"F_sed_4m_R1_F2_11Jul22",1,1
"FCR",2022-07-11,50,14,4,1,0.0040715,2,1710,3,140,0.107,0.111,0.004,0.857127819812686,"F_sed_4m_R1_F3_11Jul22",1,1
"FCR",2022-07-11,50,14,4,1,0.0040715,2,1710,4,140,0.107,0.111,0.004,0.857127819812686,"F_sed_4m_R1_F4_11Jul22",1,1
"FCR",2022-07-11,50,14,4,2,0.0040715,2,1631,1,144,0.107,0.111,0.004,0.794820363775295,"F_sed_4m_R2_F1_11Jul22",1,1
"FCR",2022-07-11,50,14,4,2,0.0040715,2,1631,2,144,0.107,0.111,0.004,0.794820363775295,"F_sed_4m_R2_F2_11Jul22",1,1
"FCR",2022-07-11,50,14,4,2,0.0040715,2,1631,3,136,0.107,0.111,0.004,0.841574502820901,"F_sed_4m_R2_F3_11Jul22",1,1
"FCR",2022-07-11,50,14,4,2,0.0040715,2,1631,4,142,0.107,0.11,0.003,0.604511262589661,"F_sed_4m_R2_F4_11Jul22",1,1
"FCR",2022-07-11,50,14,8,1,0.0040715,2,1662,1,80,0.107,0.122,0.015,5.46700935071315,"F_sed_8m_R1_F1_11Jul22",1,1
"FCR",2022-07-11,50,14,8,1,0.0040715,2,1662,2,84,0.105,0.122,0.017,5.90089898172213,"F_sed_8m_R1_F2_11Jul22",1,1
