Reservoir,Site,DateTime,Depth_m,Chla_ugL,Pheo_ugL,Flag_DateTime,Flag_Chla_ugL,Flag_Pheo_ugL
SNP,200,2024-07-16 12:00:00,0.1,0.6444,0,1,1,4
SNP,41,2024-07-16 12:00:00,0.1,0.6444,0,1,1,4
SNP,111,2024-07-16 12:00:00,0.1,0.7518,0,1,1,4
SNP,111,2024-07-18 12:00:00,0.1,1.074,0.0193,1,1,45
SNP,41,2024-07-18 12:00:00,0.1,0.6444,0,1,1,4
SNP,200,2024-07-18 12:00:00,10,9.8194,0.2417,1,0,0
SNP,200,2024-07-18 12:00:00,0.1,0.8592,0,1,1,4
SNP,200,2024-07-19 12:00:00,10,8.6994,0.58,1,5,5
SNP,200,2024-07-19 12:00:00,0.1,0.6981,0.0644,1,1,45
FCR,50,2024-07-22 09:35:00,1.6,1.432,27.0247,0,0,0
BVR,50,2024-07-22 12:00:00,1.6,23.4848,3.7347,1,0,0
SNP,111,2024-07-23 12:00:00,0.1,0.8592,0.0687,1,1,4
SNP,41,2024-07-23 12:00:00,0.1,0.8787,0,1,1,4
SNP,200,2024-07-23 12:00:00,0.1,0.7518,0.0215,1,1,4
SNP,200,2024-07-23 12:00:00,11,10.0956,1.0396,1,0,0
SNP,111,2024-07-25 12:00:00,0.1,0.9097,0.2547,1,1,1
SNP,200,2024-07-25 12:00:00,9,9.666,0,1,0,4
SNP,200,2024-07-25 12:00:00,0.1,0.9097,0.1819,1,1,1
SNP,41,2024-07-25 12:00:00,0.1,1.213,0.1698,1,0,0
BVR,50,2024-07-29 09:32:00,1.6,5.1552,15.4656,0,0,0
FCR,50,2024-07-29 10:09:00,1.6,13.3176,20.0881,0,0,0
SNP,41,2024-08-01 12:00:00,0.1,0.8592,0,1,1,4
SNP,111,2024-08-01 12:00:00,0.1,0.8592,0.0687,1,1,4
BVR,50,2024-08-05 09:52:00,1.6,17.184,2.612,0,0,0
FCR,50,2024-08-05 10:08:00,1.6,11.5992,3.2478,0,0,0
SNP,111,2024-08-08 12:00:00,0.1,0.8592,0,1,1,4
SNP,41,2024-08-08 12:00:00,0.1,0.8592,0,1,1,4
FCR,50,2024-08-12 11:04:00,1.6,10.5968,1.7757,0,5,5
CCR,100,2024-08-14 12:00:00,0.1,0.3819,0,1,1,4
CCR,96,2024-08-14 12:00:00,0.1,7.2555,0.7179,1,0,0
CCR,50,2024-08-14 12:00:00,0.1,1.7184,0.3437,1,0,0
CCR,88,2024-08-14 12:00:00,0.1,1.7184,0.1375,1,0,4
CCR,92,2024-08-14 12:00:00,0.1,1.5752,0.2807,1,1,1
CCR,98,2024-08-14 12:00:00,0.1,3.8664,0.0516,1,0,4
CCR,101,2024-08-14 12:00:00,0.1,0.3819,0,1,1,4
CCR,90,2024-08-14 12:00:00,0.1,2.148,0.2234,1,0,0
SNP,111,2024-08-16 12:00:00,0.1,1.2729,0,1,1,4
SNP,41,2024-08-16 12:00:00,0.1,0.8592,0,1,1,4
FCR,50,2024-08-19 09:42:00,1.6,9.1648,4.0325,0,0,0
SNP,200,2024-08-21 12:00:00,9,1.7625,0.6486,1,1,1
SNP,111,2024-08-23 12:00:00,0.1,0.8592,0,1,1,4
SNP,41,2024-08-23 12:00:00,0.1,1.2888,0,1,1,4
BVR,50,2024-08-26 09:21:00,1.6,14.8928,1.6038,0,0,0
FCR,50,2024-08-26 09:52:00,1.6,5.37,3.1361,0,0,0
SNP,41,2024-08-30 12:00:00,0.1,0.8592,0,1,1,4
SNP,111,2024-08-30 12:00:00,0.1,1.2888,0,1,1,4
FCR,50,2024-09-02 09:40:00,1.6,NA,NA,0,2,2
BVR,50,2024-09-02 10:05:00,1.6,7.518,9.1848,0,5,5
SNP,41,2024-09-06 12:00:00,0.1,0.8592,0,1,1,4
SNP,111,2024-09-06 12:00:00,0.1,1.2729,0,1,1,4
FCR,50,2024-09-09 12:00:00,1.6,1.5275,12.9071,1,0,0
SNP,111,2024-09-12 12:00:00,0.1,0.8592,0,1,1,4
SNP,41,2024-09-12 12:00:00,0.1,0.8486,0,1,1,4
CCR,50,2024-09-16 12:00:00,0.1,2.6557,0.0437,1,0,4
CCR,92,2024-09-16 12:00:00,0.1,10.5968,1.1571,1,5,5
CCR,101,2024-09-16 12:00:00,0.1,0.703,0.8155,1,0,0
CCR,88,2024-09-16 12:00:00,0.1,3.2936,0.315,1,0,0
CCR,90,2024-09-16 12:00:00,0.1,4.1242,0.0825,1,0,4
FCR,50,2024-09-17 10:20:00,1.6,5.4364,1.8465,0,5,5
SNP,41,2024-09-19 12:00:00,0.1,0.4243,0,1,4,4
SNP,111,2024-09-19 12:00:00,0.1,0.8592,0.0687,1,1,4
BVR,50,2024-09-23 10:46:00,1.6,7.4464,1.1701,0,5,5
FCR,50,2024-09-23 13:34:00,1.6,10.0956,2.4315,0,0,0
SNP,111,2024-09-30 12:00:00,0.1,1.2888,0,1,1,4
SNP,41,2024-09-30 12:00:00,0.1,1.2888,0,1,1,4
CCR,92,2024-09-30 12:00:00,0.1,4.3741,1.1373,1,0,0
CCR,88,2024-09-30 12:00:00,0.1,4.7256,0.5327,1,0,0
CCR,101,2024-09-30 12:00:00,0.1,0.3139,0.1381,1,1,1
CCR,96,2024-09-30 12:00:00,0.1,0,0.0575,1,4,4
CCR,100,2024-09-30 12:00:00,0.1,0.158,0,1,1,4
CCR,90,2024-09-30 12:00:00,0.1,5.5848,0.6014,1,0,0
CCR,98,2024-09-30 12:00:00,0.1,0.1591,0,1,1,4
FCR,50,2024-10-01 12:00:00,1.6,14.8928,4.697,1,0,0
FCR,50,2024-10-07 12:00:00,1.6,16.0384,1.6955,1,0,0
BVR,50,2024-10-07 12:00:00,1.6,8.0192,1.6726,1,0,0
FCR,50,2024-10-15 12:00:00,1.6,19.4752,1.9704,1,0,0
FCR,50,2024-10-21 12:00:00,1.6,26.3488,0,1,0,4
BVR,50,2024-10-21 12:00:00,1.6,6.0144,1.8215,1,0,0
CCR,96,2024-10-28 12:00:00,0.1,5.728,0.6644,1,0,0
CCR,101,2024-10-28 12:00:00,0.1,0.1964,0,1,1,4
CCR,92,2024-10-28 12:00:00,0.1,4.7586,0.6662,1,5,5
CCR,88,2024-10-28 12:00:00,0.1,5.1552,0.6503,1,0,0
CCR,90,2024-10-28 12:00:00,0.1,5.023,0.9729,1,0,0
CCR,50,2024-10-28 12:00:00,0.1,9.2169,1.2435,1,0,0
CCR,98,2024-10-28 12:00:00,0.1,2.8811,1.2677,1,0,0
CCR,100,2024-10-28 12:00:00,0.1,0.0974,0,1,4,4
FCR,50,2024-10-29 12:00:00,0.1,29.6424,0,1,5,45
FCR,50,2024-10-29 12:00:00,1.6,34.368,1.0998000000000001,1,0,0
BVR,50,2024-11-04 12:00:00,1.6,7.0454,14.1115,1,5,5
FCR,50,2024-11-04 12:00:00,1.6,15.4656,39.5919,1,0,0
BVR,50,2024-11-19 12:00:00,1.6,9.7376,3.4597,1,5,5
FCR,50,2024-11-19 12:00:00,1.6,28.7832,5.5504,1,0,0
BVR,50,2024-12-03 12:00:00,1.6,8.592,2.0483,1,0,0
FCR,50,2024-12-03 12:00:00,1.6,24.9168,6.3237,1,0,0
CCR,50,2024-12-17 12:00:00,0.1,6.8736,1.2922,1,0,0
CCR,98,2024-12-17 12:00:00,0.1,0.1718,0,1,4,4
CCR,101,2024-12-17 12:00:00,0.1,0.5155,0,1,1,4
CCR,90,2024-12-17 12:00:00,0.1,5.327,0.3643,1,0,0
CCR,92,2024-12-17 12:00:00,0.1,0.1909,0.0153,1,1,4
CCR,96,2024-12-17 12:00:00,0.1,0.0859,0,1,4,4
CCR,88,2024-12-17 12:00:00,0.1,6.0144,0.2956,1,0,0
CCR,100,2024-12-17 12:00:00,0.1,0.1809,0,1,4,4
FCR,50,2025-01-27 12:00:00,1.6,14.6064,4.7772,1,0,0
FCR,50,2025-02-24 12:00:00,1.6,13.9666,2.763,1,5,5
FCR,50,2025-03-10 12:00:00,1.6,9.2364,2.6721,1,0,0
BVR,50,2025-03-10 12:00:00,1.6,9.0216,2.5776,1,0,0
FCR,50,2025-03-17 12:00:00,1.6,7.518,1.7614,1,0,0
BVR,50,2025-03-24 12:00:00,1.6,9.4512,3.1275,1,0,0
FCR,50,2025-03-24 12:00:00,1.6,4.8115,1.6222,1,0,0
FCR,50,2025-03-31 12:00:00,1.6,7.9906,1.1032,1,5,5
